Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10133;NL10318;NL10444;NL10644;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20180103 10:00;20180103 11:00;6;1.8;5.2;2;;;0.12;;0.32;0.16;-0.16;0;1;2.1;0.5
SO2;uur;µg/m³;20180103 11:00;20180103 12:00;5.1;2.1;5.1;1.6;;;0.21;;-0.01;0.04;-0.16;0;0.7;1.7;0
SO2;uur;µg/m³;20180103 12:00;20180103 13:00;4.7;1.5;4.9;1.6;;;0.18;;0.74;0.03;-0.19;0;2.4;1.8;0
SO2;uur;µg/m³;20180103 13:00;20180103 14:00;4;1.9;4.8;1.4;;;0.18;;0.33;0.07;-0.14;0;2.4;2.2;-0.1
SO2;uur;µg/m³;20180103 14:00;20180103 15:00;4.4;1;4.4;1.5;;;0.17;;0.19;0.04;-0.15;0;1.9;1.8;0
SO2;uur;µg/m³;20180103 15:00;20180103 16:00;5.9;1.1;4.1;1.3;;;0.17;;-0.39;0.03;-0.14;0;2.2;1.5;0.1
SO2;uur;µg/m³;20180103 16:00;20180103 17:00;5.3;1;4.1;1.1;;;0.19;;0.19;0.03;-0.12;0.2;0.8;2.2;-0.1
SO2;uur;µg/m³;20180103 17:00;20180103 18:00;5.2;0.5;3.9;1.2;;;0.19;;-0.29;0.01;-0.12;0.1;2.5;2.2;0
SO2;uur;µg/m³;20180103 18:00;20180103 19:00;4.8;0.8;4.2;2;;;0.17;;0.19;0.05;-0.04;0.1;1.9;2.2;0.2
SO2;uur;µg/m³;20180103 19:00;20180103 20:00;4.1;0.6;4.2;4.8;;;0.16;;-0.28;0.08;0.02;0.1;0.9;1.8;0.1
SO2;uur;µg/m³;20180103 20:00;20180103 21:00;4.3;-0.4;4.1;1.7;;;0.21;;-0.52;0.04;0.05;0.1;1.8;2.2;0.1
SO2;uur;µg/m³;20180103 21:00;20180103 22:00;2.2;0.3;4.6;5.5;;;0.19;;-0.36;0.08;0.17;0.1;2.2;1.3;0.4
SO2;uur;µg/m³;20180103 22:00;20180103 23:00;1.9;0.7;4.8;9.2;;;0.18;;-0.01;0.06;0.07;0.1;1.8;;0.2
SO2;uur;µg/m³;20180103 23:00;20180104 00:00;1.9;0.5;5.3;8.1;;;0.23;;0.55;0.08;-0.03;0;2;2.6;0.2
SO2;uur;µg/m³;20180104 00:00;20180104 01:00;2.1;0.7;4.7;9.4;;;0.27;;-0.12;0.11;0.04;0.1;1.2;1.7;0.3
SO2;uur;µg/m³;20180104 01:00;20180104 02:00;2;0.5;5.5;3.1;;;0.22;;0.43;0.07;-0.05;0.1;2.6;2.2;0.7
SO2;uur;µg/m³;20180104 02:00;20180104 03:00;2.2;0.8;5.6;2.7;;;0.21;;-0.51;0.11;-0.06;0.1;2.1;2.3;0.2
SO2;uur;µg/m³;20180104 03:00;20180104 04:00;1.9;0.9;5.6;2.2;;;0.21;;0.11;0.13;-0.03;0.1;1.6;2.2;0.2
SO2;uur;µg/m³;20180104 04:00;20180104 05:00;1.8;0.3;5.1;3.2;;;0.23;;-0.48;0.21;0.16;0.1;1;2.6;0.3
SO2;uur;µg/m³;20180104 05:00;20180104 06:00;1.4;0.4;4.5;2.5;;;0.18;;-0.37;0.22;0.16;0.1;1.9;1.9;0.3
SO2;uur;µg/m³;20180104 06:00;20180104 07:00;1.9;0.6;4.3;2.5;;;0.23;;-0.36;0.28;0.23;0.1;2.1;2;0.2
SO2;uur;µg/m³;20180104 07:00;20180104 08:00;2.1;1.4;5;2.4;;;0.2;;-1.04;0.27;0.19;0.1;1.6;2.2;0.6
SO2;uur;µg/m³;20180104 08:00;20180104 09:00;2.4;1.2;5.8;2.6;;;0.27;;-0.57;0.35;0.19;0.1;1.7;1.9;0.5
SO2;uur;µg/m³;20180104 09:00;20180104 10:00;9.3;1.5;5.1;2.3;;;0.33;;-0.6;0.49;0.19;0.1;1.3;2;0.8
SO2;uur;µg/m³;20180104 10:00;20180104 11:00;3.7;1.7;5.2;2.8;;;0.3;;-0.56;0.47;0.2;0.1;1.9;3;0.8
SO2;uur;µg/m³;20180104 11:00;20180104 12:00;3.2;2.1;4.9;2.7;;;1.81;;-0.27;;0.34;0.2;1.9;11.7;1.1
SO2;uur;µg/m³;20180104 12:00;20180104 13:00;7;1.8;4.6;2.9;;;2.22;;0.44;;0.15;0.3;1.7;23.4;2.7
SO2;uur;µg/m³;20180104 13:00;20180104 14:00;14.1;2.9;5.3;2.8;;;2.68;;0.26;;0.26;0.2;2.5;10.8;2
SO2;uur;µg/m³;20180104 14:00;20180104 15:00;7;2.6;5.4;3.6;;;0.34;;0.05;;0.42;0.1;1.3;8.1;1
