Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20220104 05:00;20220104 06:00;13.7;0.5;0.5;-0.18;0.13;0.91;0.26;0.18;0.23;0.3;1.4;2.2;1.6
SO2;uur;µg/m³;20220104 06:00;20220104 07:00;7.7;0.3;0.7;-0.18;0.14;0.6;0.27;0.2;0.22;0.2;1.3;0.8;1.6
SO2;uur;µg/m³;20220104 07:00;20220104 08:00;4.1;1.1;0.8;-0.11;0.12;0.44;0.28;0.14;0.17;0.1;2.8;0.9;2.4
SO2;uur;µg/m³;20220104 08:00;20220104 09:00;3.3;0.5;0.9;-0.11;0.13;0.38;0.26;0.15;0.18;0.1;3.1;0.5;2
SO2;uur;µg/m³;20220104 09:00;20220104 10:00;2.1;0.8;1.2;-0.05;0.13;0.31;0.28;0.18;0.2;0;2.4;1.3;0.4
SO2;uur;µg/m³;20220104 10:00;20220104 11:00;3;0.8;0;0.07;0.15;0.27;0.53;0.16;0.17;0;13.7;1;0.4
SO2;uur;µg/m³;20220104 11:00;20220104 12:00;3.6;1;-0.1;0.02;0.18;0.25;0.46;0.14;0.17;0.2;10.7;0.7;0.1
SO2;uur;µg/m³;20220104 12:00;20220104 13:00;1.8;1.7;-0.2;0.05;0.12;0.26;0.37;0.17;0.17;0;22.4;1.6;0
SO2;uur;µg/m³;20220104 13:00;20220104 14:00;1.4;2.8;-0.3;0.24;0.09;0.21;0.64;0.18;0.18;-0.2;;0.8;0
SO2;uur;µg/m³;20220104 14:00;20220104 15:00;1.2;1.2;;0.32;0.1;0.23;0.39;0.12;0.18;0.1;31.7;1.5;0
SO2;uur;µg/m³;20220104 15:00;20220104 16:00;1.2;0.7;;0.35;0.23;0.22;0.34;0.13;0.22;0.4;12.9;1.7;0
SO2;uur;µg/m³;20220104 16:00;20220104 17:00;0.9;0.7;-0.8;0.1;0.12;0.22;0.41;0.1;0.21;0.1;5.3;0.5;0
SO2;uur;µg/m³;20220104 17:00;20220104 18:00;1.3;0.7;-0.3;-0.02;0.07;0.22;0.45;0.11;0.2;;6.9;1.3;0.5
SO2;uur;µg/m³;20220104 18:00;20220104 19:00;0.7;1.5;-0.4;-0.09;0.26;0.2;0.29;0.1;0.2;0.9;11.3;1.1;0.1
SO2;uur;µg/m³;20220104 19:00;20220104 20:00;1;1.8;-0.3;-0.12;0.51;0.22;0.56;0.13;0.19;0.3;8.9;1.3;0
SO2;uur;µg/m³;20220104 20:00;20220104 21:00;1.4;7.2;;-0.11;0.12;0.2;0.32;0.11;0.17;0;3.5;0.8;1.4
SO2;uur;µg/m³;20220104 21:00;20220104 22:00;0.7;2;-0.2;-0.13;0.13;0.23;0.32;0.14;0.2;0.5;1.8;2;0.8
SO2;uur;µg/m³;20220104 22:00;20220104 23:00;1.4;1.7;-0.1;-0.18;0.24;0.19;0.34;0.12;0.19;1.7;1.8;1.6;3.8
SO2;uur;µg/m³;20220104 23:00;20220105 00:00;5;5;-0.1;-0.14;0.2;0.28;0.44;0.14;0.19;0.3;2.4;1.1;3
SO2;uur;µg/m³;20220105 00:00;20220105 01:00;5.9;3.2;0.1;-0.11;0.22;0.33;0.33;0.15;0.18;0.2;1.6;2;1.1
SO2;uur;µg/m³;20220105 01:00;20220105 02:00;4.9;2.2;0.3;-0.01;0.14;0.48;0.32;0.17;0.18;0.1;2.7;2;0.8
