Export;EXP-2023-01 (20230706 17:18);;;StationsCode;NL10742
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Nijmegen-Ruyterstraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.838221,5.856938)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad
;;;;StationsType;achtergrond
;;;;Meetprincipe;Reflectometrie
;;;;Meetopstelling;ETL-SX200
;;;;Accreditatienummer;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10742
ZWR;dag;µg/m³;20170811 00:00;20170812 00:00;
ZWR;dag;µg/m³;20170812 00:00;20170813 00:00;
ZWR;dag;µg/m³;20170813 00:00;20170814 00:00;
ZWR;dag;µg/m³;20170814 00:00;20170815 00:00;
ZWR;dag;µg/m³;20170815 00:00;20170816 00:00;
ZWR;dag;µg/m³;20170816 00:00;20170817 00:00;
ZWR;dag;µg/m³;20170817 00:00;20170818 00:00;
ZWR;dag;µg/m³;20170818 00:00;20170819 00:00;
ZWR;dag;µg/m³;20170819 00:00;20170820 00:00;
ZWR;dag;µg/m³;20170820 00:00;20170821 00:00;
ZWR;dag;µg/m³;20170821 00:00;20170822 00:00;
ZWR;dag;µg/m³;20170822 00:00;20170823 00:00;
ZWR;dag;µg/m³;20170823 00:00;20170824 00:00;
ZWR;dag;µg/m³;20170824 00:00;20170825 00:00;
ZWR;dag;µg/m³;20170825 00:00;20170826 00:00;
ZWR;dag;µg/m³;20170826 00:00;20170827 00:00;
ZWR;dag;µg/m³;20170827 00:00;20170828 00:00;
ZWR;dag;µg/m³;20170828 00:00;20170829 00:00;
ZWR;dag;µg/m³;20170829 00:00;20170830 00:00;
ZWR;dag;µg/m³;20170830 00:00;20170831 00:00;
ZWR;dag;µg/m³;20170831 00:00;20170901 00:00;
ZWR;dag;µg/m³;20170901 00:00;20170902 00:00;
ZWR;dag;µg/m³;20170902 00:00;20170903 00:00;
ZWR;dag;µg/m³;20170903 00:00;20170904 00:00;
ZWR;dag;µg/m³;20170904 00:00;20170905 00:00;
ZWR;dag;µg/m³;20170905 00:00;20170906 00:00;
ZWR;dag;µg/m³;20170906 00:00;20170907 00:00;
ZWR;dag;µg/m³;20170907 00:00;20170908 00:00;
ZWR;dag;µg/m³;20170908 00:00;20170909 00:00;
ZWR;dag;µg/m³;20170909 00:00;20170910 00:00;
ZWR;dag;µg/m³;20170910 00:00;20170911 00:00;
ZWR;dag;µg/m³;20170911 00:00;20170912 00:00;
ZWR;dag;µg/m³;20170912 00:00;20170913 00:00;
ZWR;dag;µg/m³;20170913 00:00;20170914 00:00;
ZWR;dag;µg/m³;20170914 00:00;20170915 00:00;
ZWR;dag;µg/m³;20170915 00:00;20170916 00:00;
ZWR;dag;µg/m³;20170916 00:00;20170917 00:00;
ZWR;dag;µg/m³;20170917 00:00;20170918 00:00;
ZWR;dag;µg/m³;20170918 00:00;20170919 00:00;
ZWR;dag;µg/m³;20170919 00:00;20170920 00:00;
ZWR;dag;µg/m³;20170920 00:00;20170921 00:00;
ZWR;dag;µg/m³;20170921 00:00;20170922 00:00;
ZWR;dag;µg/m³;20170922 00:00;20170923 00:00;
ZWR;dag;µg/m³;20170923 00:00;20170924 00:00;
ZWR;dag;µg/m³;20170924 00:00;20170925 00:00;
ZWR;dag;µg/m³;20170925 00:00;20170926 00:00;
ZWR;dag;µg/m³;20170926 00:00;20170927 00:00;
ZWR;dag;µg/m³;20170927 00:00;20170928 00:00;
ZWR;dag;µg/m³;20170928 00:00;20170929 00:00;
ZWR;dag;µg/m³;20170929 00:00;20170930 00:00;
ZWR;dag;µg/m³;20170930 00:00;20171001 00:00;
ZWR;dag;µg/m³;20171001 00:00;20171002 00:00;
ZWR;dag;µg/m³;20171002 00:00;20171003 00:00;
ZWR;dag;µg/m³;20171003 00:00;20171004 00:00;
ZWR;dag;µg/m³;20171004 00:00;20171005 00:00;
ZWR;dag;µg/m³;20171005 00:00;20171006 00:00;
ZWR;dag;µg/m³;20171006 00:00;20171007 00:00;
ZWR;dag;µg/m³;20171007 00:00;20171008 00:00;
ZWR;dag;µg/m³;20171008 00:00;20171009 00:00;
ZWR;dag;µg/m³;20171009 00:00;20171010 00:00;
ZWR;dag;µg/m³;20171010 00:00;20171011 00:00;
ZWR;dag;µg/m³;20171011 00:00;20171012 00:00;
ZWR;dag;µg/m³;20171012 00:00;20171013 00:00;
ZWR;dag;µg/m³;20171013 00:00;20171014 00:00;
ZWR;dag;µg/m³;20171014 00:00;20171015 00:00;
ZWR;dag;µg/m³;20171015 00:00;20171016 00:00;
ZWR;dag;µg/m³;20171016 00:00;20171017 00:00;
ZWR;dag;µg/m³;20171017 00:00;20171018 00:00;
ZWR;dag;µg/m³;20171018 00:00;20171019 00:00;
ZWR;dag;µg/m³;20171019 00:00;20171020 00:00;
ZWR;dag;µg/m³;20171020 00:00;20171021 00:00;
ZWR;dag;µg/m³;20171021 00:00;20171022 00:00;
ZWR;dag;µg/m³;20171022 00:00;20171023 00:00;
ZWR;dag;µg/m³;20171023 00:00;20171024 00:00;
ZWR;dag;µg/m³;20171024 00:00;20171025 00:00;
ZWR;dag;µg/m³;20171025 00:00;20171026 00:00;
ZWR;dag;µg/m³;20171026 00:00;20171027 00:00;
ZWR;dag;µg/m³;20171027 00:00;20171028 00:00;
ZWR;dag;µg/m³;20171028 00:00;20171029 00:00;
ZWR;dag;µg/m³;20171029 00:00;20171030 00:00;
ZWR;dag;µg/m³;20171030 00:00;20171031 00:00;
ZWR;dag;µg/m³;20171031 00:00;20171101 00:00;
ZWR;dag;µg/m³;20171101 00:00;20171102 00:00;
ZWR;dag;µg/m³;20171102 00:00;20171103 00:00;
ZWR;dag;µg/m³;20171103 00:00;20171104 00:00;
ZWR;dag;µg/m³;20171104 00:00;20171105 00:00;
ZWR;dag;µg/m³;20171105 00:00;20171106 00:00;
ZWR;dag;µg/m³;20171106 00:00;20171107 00:00;
ZWR;dag;µg/m³;20171107 00:00;20171108 00:00;
ZWR;dag;µg/m³;20171108 00:00;20171109 00:00;
ZWR;dag;µg/m³;20171109 00:00;20171110 00:00;
ZWR;dag;µg/m³;20171110 00:00;20171111 00:00;
ZWR;dag;µg/m³;20171111 00:00;20171112 00:00;
ZWR;dag;µg/m³;20171112 00:00;20171113 00:00;
ZWR;dag;µg/m³;20171113 00:00;20171114 00:00;
ZWR;dag;µg/m³;20171114 00:00;20171115 00:00;
ZWR;dag;µg/m³;20171115 00:00;20171116 00:00;
ZWR;dag;µg/m³;20171116 00:00;20171117 00:00;
ZWR;dag;µg/m³;20171117 00:00;20171118 00:00;
ZWR;dag;µg/m³;20171118 00:00;20171119 00:00;
ZWR;dag;µg/m³;20171119 00:00;20171120 00:00;
ZWR;dag;µg/m³;20171120 00:00;20171121 00:00;
ZWR;dag;µg/m³;20171121 00:00;20171122 00:00;
ZWR;dag;µg/m³;20171122 00:00;20171123 00:00;
ZWR;dag;µg/m³;20171123 00:00;20171124 00:00;
ZWR;dag;µg/m³;20171124 00:00;20171125 00:00;
ZWR;dag;µg/m³;20171125 00:00;20171126 00:00;
ZWR;dag;µg/m³;20171126 00:00;20171127 00:00;
ZWR;dag;µg/m³;20171127 00:00;20171128 00:00;
ZWR;dag;µg/m³;20171128 00:00;20171129 00:00;
ZWR;dag;µg/m³;20171129 00:00;20171130 00:00;
ZWR;dag;µg/m³;20171130 00:00;20171201 00:00;
ZWR;dag;µg/m³;20171201 00:00;20171202 00:00;
ZWR;dag;µg/m³;20171202 00:00;20171203 00:00;
ZWR;dag;µg/m³;20171203 00:00;20171204 00:00;
ZWR;dag;µg/m³;20171204 00:00;20171205 00:00;
ZWR;dag;µg/m³;20171205 00:00;20171206 00:00;
ZWR;dag;µg/m³;20171206 00:00;20171207 00:00;
ZWR;dag;µg/m³;20171207 00:00;20171208 00:00;
ZWR;dag;µg/m³;20171208 00:00;20171209 00:00;
ZWR;dag;µg/m³;20171209 00:00;20171210 00:00;
ZWR;dag;µg/m³;20171210 00:00;20171211 00:00;
ZWR;dag;µg/m³;20171211 00:00;20171212 00:00;
ZWR;dag;µg/m³;20171212 00:00;20171213 00:00;
ZWR;dag;µg/m³;20171213 00:00;20171214 00:00;
ZWR;dag;µg/m³;20171214 00:00;20171215 00:00;
ZWR;dag;µg/m³;20171215 00:00;20171216 00:00;
ZWR;dag;µg/m³;20171216 00:00;20171217 00:00;
ZWR;dag;µg/m³;20171217 00:00;20171218 00:00;
ZWR;dag;µg/m³;20171218 00:00;20171219 00:00;
ZWR;dag;µg/m³;20171219 00:00;20171220 00:00;
ZWR;dag;µg/m³;20171220 00:00;20171221 00:00;
ZWR;dag;µg/m³;20171221 00:00;20171222 00:00;
ZWR;dag;µg/m³;20171222 00:00;20171223 00:00;
ZWR;dag;µg/m³;20171223 00:00;20171224 00:00;
ZWR;dag;µg/m³;20171224 00:00;20171225 00:00;
ZWR;dag;µg/m³;20171225 00:00;20171226 00:00;
ZWR;dag;µg/m³;20171226 00:00;20171227 00:00;
ZWR;dag;µg/m³;20171227 00:00;20171228 00:00;
ZWR;dag;µg/m³;20171228 00:00;20171229 00:00;
ZWR;dag;µg/m³;20171229 00:00;20171230 00:00;
ZWR;dag;µg/m³;20171230 00:00;20171231 00:00;
ZWR;dag;µg/m³;20171231 00:00;20180101 00:00;
