Export;EXP-2023-01 (20230705 21:24);;;StationsCode;NL49551;NL49553
Periode;20220101 00:00 - 20230101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20220109 10:00;20220109 11:00;1.1;0.4
H2S;uur;µg/m³;20220109 11:00;20220109 12:00;1.3;0.6
H2S;uur;µg/m³;20220109 12:00;20220109 13:00;1.7;1
H2S;uur;µg/m³;20220109 13:00;20220109 14:00;1;0.8
H2S;uur;µg/m³;20220109 14:00;20220109 15:00;1.6;0.2
H2S;uur;µg/m³;20220109 15:00;20220109 16:00;1.4;
H2S;uur;µg/m³;20220109 16:00;20220109 17:00;1.3;0.5
H2S;uur;µg/m³;20220109 17:00;20220109 18:00;1.2;0.6
H2S;uur;µg/m³;20220109 18:00;20220109 19:00;1.4;0.5
H2S;uur;µg/m³;20220109 19:00;20220109 20:00;1.2;0.4
H2S;uur;µg/m³;20220109 20:00;20220109 21:00;0.9;0.1
H2S;uur;µg/m³;20220109 21:00;20220109 22:00;1.2;0.4
H2S;uur;µg/m³;20220109 22:00;20220109 23:00;1;0.6
H2S;uur;µg/m³;20220109 23:00;20220110 00:00;1.7;0.4
H2S;uur;µg/m³;20220110 00:00;20220110 01:00;1.1;0.2
H2S;uur;µg/m³;20220110 01:00;20220110 02:00;1;0.5
H2S;uur;µg/m³;20220110 02:00;20220110 03:00;1.4;1.7
H2S;uur;µg/m³;20220110 03:00;20220110 04:00;1.6;2.4
H2S;uur;µg/m³;20220110 04:00;20220110 05:00;1.6;2.3
H2S;uur;µg/m³;20220110 05:00;20220110 06:00;1.9;1.2
H2S;uur;µg/m³;20220110 06:00;20220110 07:00;1.6;2.3
H2S;uur;µg/m³;20220110 07:00;20220110 08:00;1.5;2.2
H2S;uur;µg/m³;20220110 08:00;20220110 09:00;1.8;2
H2S;uur;µg/m³;20220110 09:00;20220110 10:00;1.9;2.3
H2S;uur;µg/m³;20220110 10:00;20220110 11:00;2.1;3.5
H2S;uur;µg/m³;20220110 11:00;20220110 12:00;1.5;2.3
H2S;uur;µg/m³;20220110 12:00;20220110 13:00;2;3.1
H2S;uur;µg/m³;20220110 13:00;20220110 14:00;1.7;2.1
H2S;uur;µg/m³;20220110 14:00;20220110 15:00;1.8;2.5
H2S;uur;µg/m³;20220110 15:00;20220110 16:00;1.8;2.4
H2S;uur;µg/m³;20220110 16:00;20220110 17:00;1.9;1.8
H2S;uur;µg/m³;20220110 17:00;20220110 18:00;1.8;2.4
H2S;uur;µg/m³;20220110 18:00;20220110 19:00;1.8;2.1
H2S;uur;µg/m³;20220110 19:00;20220110 20:00;;1.8
H2S;uur;µg/m³;20220110 20:00;20220110 21:00;2;1.3
H2S;uur;µg/m³;20220110 21:00;20220110 22:00;1.7;2.6
H2S;uur;µg/m³;20220110 22:00;20220110 23:00;1.7;3.1
H2S;uur;µg/m³;20220110 23:00;20220111 00:00;1.1;3.2
H2S;uur;µg/m³;20220111 00:00;20220111 01:00;1.4;0.9
H2S;uur;µg/m³;20220111 01:00;20220111 02:00;1.7;0.7
H2S;uur;µg/m³;20220111 02:00;20220111 03:00;1.5;0.6
H2S;uur;µg/m³;20220111 03:00;20220111 04:00;1.7;0.8
H2S;uur;µg/m³;20220111 04:00;20220111 05:00;1.7;1
H2S;uur;µg/m³;20220111 05:00;20220111 06:00;1.4;1.4
H2S;uur;µg/m³;20220111 06:00;20220111 07:00;1.5;1.9
H2S;uur;µg/m³;20220111 07:00;20220111 08:00;1.6;2.2
H2S;uur;µg/m³;20220111 08:00;20220111 09:00;1.5;2.8
H2S;uur;µg/m³;20220111 09:00;20220111 10:00;1.5;1.8
H2S;uur;µg/m³;20220111 10:00;20220111 11:00;1.7;0.6
H2S;uur;µg/m³;20220111 11:00;20220111 12:00;1.3;4.6
H2S;uur;µg/m³;20220111 12:00;20220111 13:00;1.7;3.7
H2S;uur;µg/m³;20220111 13:00;20220111 14:00;1.6;5.2
H2S;uur;µg/m³;20220111 14:00;20220111 15:00;1.3;3.5
H2S;uur;µg/m³;20220111 15:00;20220111 16:00;1.3;1.3
H2S;uur;µg/m³;20220111 16:00;20220111 17:00;1.8;1.1
