Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;stad;stad;stad;stad;stad
;;;;StationsType;achtergrond;verkeer;verkeer;verkeer;achtergrond;industrie;industrie;achtergrond
;;;;Meetprincipe;Niet-dispersieve infrarood (NDIR);Niet-dispersieve infrarood (NDIR);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC)
;;;;Meetopstelling;Thermo model 48w CO analyser              ;Thermo model 48w CO analyser              ;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser
;;;;Accreditatienummer;nvt;nvt;L426;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10644;NL10741;NL49007;NL49012;NL49014;NL49551;NL49553;NL49561
CO;uur;µg/m³;20200104 13:00;20200104 14:00;190.73;308.28;235.4;249.7;228.4;;190.6;264.7
CO;uur;µg/m³;20200104 14:00;20200104 15:00;199.57;342.03;314.5;274.9;263.7;;153.6;260.2
CO;uur;µg/m³;20200104 15:00;20200104 16:00;194.42;338.78;262.1;386.1;343.9;;159.5;262.2
CO;uur;µg/m³;20200104 16:00;20200104 17:00;212.08;345.79;253.5;360.5;326.3;;158.8;267.4
CO;uur;µg/m³;20200104 17:00;20200104 18:00;198.95;339.49;267.2;347.7;319.3;;154.2;261.3
CO;uur;µg/m³;20200104 18:00;20200104 19:00;187.45;303.61;278.8;410.4;292.5;;169.3;257.7
CO;uur;µg/m³;20200104 19:00;20200104 20:00;191.53;299.44;293.6;235;283.4;;150.9;247.5
CO;uur;µg/m³;20200104 20:00;20200104 21:00;591.55;322.92;349.3;221.9;367.2;;144.7;255.3
CO;uur;µg/m³;20200104 21:00;20200104 22:00;1293.56;310.72;401.5;323.5;380.5;;143.6;280.4
CO;uur;µg/m³;20200104 22:00;20200104 23:00;1098.95;362.36;424.6;294.7;410.6;;172.6;279.7
CO;uur;µg/m³;20200104 23:00;20200105 00:00;925.78;355.07;371.3;290;286;;169.7;273.7
CO;uur;µg/m³;20200105 00:00;20200105 01:00;722.44;260.45;275.2;249.8;257.6;;156.9;264.3
CO;uur;µg/m³;20200105 01:00;20200105 02:00;235.6;288.46;260.8;224.1;239.6;;159.3;246.3
CO;uur;µg/m³;20200105 02:00;20200105 03:00;208.4;285.21;274.7;232;225.9;;171.5;270.1
CO;uur;µg/m³;20200105 03:00;20200105 04:00;195.59;258.99;257.2;254.5;227.6;;167;263.1
CO;uur;µg/m³;20200105 04:00;20200105 05:00;171.71;221.48;260.4;243.9;228.2;;162;280.1
CO;uur;µg/m³;20200105 05:00;20200105 06:00;173.14;224.43;263;251.1;230.6;;174.4;285.5
CO;uur;µg/m³;20200105 06:00;20200105 07:00;171.2;232.97;259;242.5;209.2;;169.6;284.2
CO;uur;µg/m³;20200105 07:00;20200105 08:00;169.67;207.15;268.5;254.1;209.1;;174.4;317.6
CO;uur;µg/m³;20200105 08:00;20200105 09:00;186.92;232.36;295.1;334;207.7;;176.3;363.8
CO;uur;µg/m³;20200105 09:00;20200105 10:00;211.19;302.9;350.1;336.2;220.1;;187.9;347.1
CO;uur;µg/m³;20200105 10:00;20200105 11:00;225.79;350.36;338.7;390.8;232.2;;193.2;358.7
CO;uur;µg/m³;20200105 11:00;20200105 12:00;241.98;384.92;343.6;415.1;261.9;;228.1;390.9
CO;uur;µg/m³;20200105 12:00;20200105 13:00;230.33;397.53;359.9;413;257.1;;178.8;353.8
CO;uur;µg/m³;20200105 13:00;20200105 14:00;198.77;415.52;370.6;435.9;277.4;;193.5;335.1
CO;uur;µg/m³;20200105 14:00;20200105 15:00;205.92;360.53;362.3;440.2;265.3;;179.2;356.7
CO;uur;µg/m³;20200105 15:00;20200105 16:00;201.31;354.63;316.5;437.7;240;;175.5;274
CO;uur;µg/m³;20200105 16:00;20200105 17:00;173.14;327.29;277.3;288.1;210.9;;180.1;256.1
CO;uur;µg/m³;20200105 17:00;20200105 18:00;170.48;348.53;304.8;327.5;214.7;;187.4;276.5
CO;uur;µg/m³;20200105 18:00;20200105 19:00;163.21;309.5;325.6;361.4;212.5;;181.6;315.9
CO;uur;µg/m³;20200105 19:00;20200105 20:00;172.14;313.97;346.7;344.9;208.2;;180.1;312.6
CO;uur;µg/m³;20200105 20:00;20200105 21:00;173.84;304.83;304.8;347.4;207.3;;168.8;298.3
CO;uur;µg/m³;20200105 21:00;20200105 22:00;181.58;294.26;359.5;302.7;204.6;;165.2;326.7
CO;uur;µg/m³;20200105 22:00;20200105 23:00;191.32;259.19;334.4;308;203.9;;162.9;355.5
CO;uur;µg/m³;20200105 23:00;20200106 00:00;244.14;275.11;276.7;278.8;202.2;;181.8;269.3
CO;uur;µg/m³;20200106 00:00;20200106 01:00;269.09;251.96;279.9;269.5;210.3;;204.7;288.7
CO;uur;µg/m³;20200106 01:00;20200106 02:00;252.74;254.11;274.7;268.3;230.8;;239.7;292.7
CO;uur;µg/m³;20200106 02:00;20200106 03:00;229.98;245.67;292.3;300.7;258.5;;233.5;301.1
CO;uur;µg/m³;20200106 03:00;20200106 04:00;232.19;238.96;288.2;288;244.3;;208.6;284.3
CO;uur;µg/m³;20200106 04:00;20200106 05:00;232.9;233.48;264;270.6;217.6;;206.5;277.4
CO;uur;µg/m³;20200106 05:00;20200106 06:00;203.33;245.27;270.7;289;227.7;;199.8;289.2
CO;uur;µg/m³;20200106 06:00;20200106 07:00;264.37;274.13;322.8;371.7;232.5;;211.1;326
CO;uur;µg/m³;20200106 07:00;20200106 08:00;227.93;378.21;349.7;310.5;195.2;;202.9;333.8
CO;uur;µg/m³;20200106 08:00;20200106 09:00;225.46;402.91;419;412.7;240.4;183.3;213.1;332.5
CO;uur;µg/m³;20200106 09:00;20200106 10:00;209.58;285.62;400.3;409.4;253.3;165.7;239.3;312.6
CO;uur;µg/m³;20200106 10:00;20200106 11:00;178.12;260.82;328.6;347.2;221.2;164.6;175.7;305.4
CO;uur;µg/m³;20200106 11:00;20200106 12:00;170.6;211.32;321.3;305;231.5;188.4;641.4;320.3
CO;uur;µg/m³;20200106 12:00;20200106 13:00;;262.24;284.5;292.1;201.1;181.2;1008.3;282.6
CO;uur;µg/m³;20200106 13:00;20200106 14:00;190.34;226.16;288.9;294.6;202.3;205.4;1155.5;282.2
CO;uur;µg/m³;20200106 14:00;20200106 15:00;184.69;208.06;349.6;351.2;218.8;202.9;1352.4;407
CO;uur;µg/m³;20200106 15:00;20200106 16:00;183.46;233.98;377.7;397.5;223.8;220.8;272.8;276
CO;uur;µg/m³;20200106 16:00;20200106 17:00;221.38;294.39;475.7;415.9;228.8;247.9;314.5;299.3
CO;uur;µg/m³;20200106 17:00;20200106 18:00;239.3;321.39;422.8;432.2;229.8;265.7;455;349.6
CO;uur;µg/m³;20200106 18:00;20200106 19:00;252.43;278.91;392;442.1;252.6;270.2;740.4;383.8
CO;uur;µg/m³;20200106 19:00;20200106 20:00;256.19;326.38;361.9;377.5;248.5;288.8;840.4;405
CO;uur;µg/m³;20200106 20:00;20200106 21:00;285.95;317.84;391.6;406.5;285.5;216.7;238;389.8
CO;uur;µg/m³;20200106 21:00;20200106 22:00;291.3;339.08;399.6;372.7;265.1;226.2;247.7;356.5
CO;uur;µg/m³;20200106 22:00;20200106 23:00;291.11;342.64;359.2;355.5;250.9;234.8;262.2;368
CO;uur;µg/m³;20200106 23:00;20200107 00:00;273.99;292.32;337.1;335.2;256.1;233.5;250.1;345.9
CO;uur;µg/m³;20200107 00:00;20200107 01:00;272.16;247.17;308.9;305.4;251.3;188.5;195;352.3
CO;uur;µg/m³;20200107 01:00;20200107 02:00;275.91;239.98;273.5;279.2;219.4;167.8;207.1;271.7
CO;uur;µg/m³;20200107 02:00;20200107 03:00;251.49;264.68;242.6;236.1;188;167.8;196.8;253.5
CO;uur;µg/m³;20200107 03:00;20200107 04:00;229.37;251.57;249.3;230.1;181.7;161.9;185.9;248.2
CO;uur;µg/m³;20200107 04:00;20200107 05:00;226.71;233.27;232.9;223.9;173.1;162.9;182.1;261
CO;uur;µg/m³;20200107 05:00;20200107 06:00;235.81;254.21;257.3;262;170.9;177.6;191.7;272
CO;uur;µg/m³;20200107 06:00;20200107 07:00;207.47;298.42;339;416.7;196.2;180.3;194.9;308.2
CO;uur;µg/m³;20200107 07:00;20200107 08:00;234.32;433.81;458.1;499.8;283.2;211.2;218.2;381.9
CO;uur;µg/m³;20200107 08:00;20200107 09:00;232.85;447.94;587.8;804.7;356.4;314.2;206.9;480.5
CO;uur;µg/m³;20200107 09:00;20200107 10:00;245.21;318.95;538.2;804.4;357.1;217.2;266.9;523
CO;uur;µg/m³;20200107 10:00;20200107 11:00;232.35;261.73;526.7;552.4;386.2;206.7;269.6;533.3
CO;uur;µg/m³;20200107 11:00;20200107 12:00;248.98;239.37;435.6;436.5;343.5;211.3;296.3;406.3
CO;uur;µg/m³;20200107 12:00;20200107 13:00;;265.19;390.5;398.1;305.4;224.3;292;381
CO;uur;µg/m³;20200107 13:00;20200107 14:00;435.36;262.24;358.9;397.7;281.5;228.6;473.7;371.4
CO;uur;µg/m³;20200107 14:00;20200107 15:00;294.63;275.35;472.2;477.3;358.7;235.3;556.4;450.3
